Date,Days since March 0,Non-OSU,OSU,CSCC,Total
2014-03-06,6,,9,,9
2014-03-07,7,,13,,13
2014-03-10,10,,16,,16
2014-03-12,12,,19,,19
2014-03-17,17,,23,,23
2014-03-18,18,,28,,28
2014-03-19,19,,32,,32
2014-03-20,20,,37,,37
2014-03-24,24,18,45,,63
2014-03-25,25,17,52,,69
2014-03-26,26,17,65,,82
2014-03-27,27,17,70,,87
2014-03-28,28,24,81,,105
2014-03-31,31,24,89,,113
2014-04-01,32,23,93,,116
2014-04-02,33,24,95,,119
2014-04-03,34,24,99,,123
2014-04-04,35,51,99,,150
2014-04-08,39,60,103,,163
2014-04-09,40,64,111,,175
2014-04-10,41,69,120,,189
2014-04-11,42,73,126,,199
2014-04-14,45,80,132,,212
2014-04-15,46,85,139,,224
2014-04-16,47,85,142,,230
2014-04-17,48,85,145,2,234
2014-04-18,49,93,151,2,244
2014-04-21,52,100,153,3.5,253
2014-04-22,53,103,160,4,263
2014-04-23,54,107,162,4,269
2014-04-24,55,111,162,4,273
2014-04-25,56,113,165,4,278
2014-04-28,59,115,172,,287
2014-04-29,60,119,176,,295
2014-04-30,61,120,179,,299
2014-05-01,62,121,182,,303
2014-05-02,63,126,183,,309
2014-05-05,66,129,188,,317
2014-05-06,67,130,191,,321
2014-05-07,68,132,196,,328
2014-05-08,69,135,198,,333
2014-05-12,73,141,201,,342
2014-05-14,75,149,204,,353
2014-05-16,77,153,208,,361
